Time, [dogfood-idc-elf-61]enp4s0f0, [dogfood-idc-elf-61]enp4s0f1, [dogfood-idc-elf-61]eno1, [dogfood-idc-elf-61]eno2, [dogfood-idc-elf-61]port-mgt, [dogfood-idc-elf-61]port-storage, [dogfood-idc-elf-61]port-internal, Unit
2019-07-05T20:38:46, 5082325, 0, 82453, 0, 60843, 4888411, 414764, bps
2019-07-05T20:39:16, 4301802, 0, 64104, 0, 49686, 4143282, 414847, bps
2019-07-05T20:39:46, 5531679, 0, 46719, 0, 31411, 5320710, 415112, bps
2019-07-05T20:40:16, 6645456, 0, 2031920, 0, 1916110, 6386692, 415047, bps
2019-07-05T20:40:53, 4917219, 0, 16639, 0, 558, 4733721, 489429, bps
2019-07-05T20:41:23, 4223179, 0, 18735, 0, 4554, 4095979, 416686, bps
2019-07-05T20:42:03, 4302520, 0, 52838, 0, 330, 4181712, 414847, bps
2019-07-05T20:42:33, 5389082, 0, 63252, 0, 768, 5193093, 414336, bps
2019-07-05T20:42:52, 6393904, 0, 62653, 0, 45962, 6152419, 414648, bps
2019-07-05T20:43:22, 8883102, 0, 116373, 0, 74815, 8563484, 414798, bps
2019-07-05T20:43:52, 6389985, 0, 67365, 0, 46970, 6145572, 414925, bps
2019-07-05T20:44:46, 5459272, 0, 95190, 0, 53761, 5248982, 414600, bps
2019-07-05T20:45:16, 5595820, 0, 94991, 0, 70055, 5384607, 416306, bps
2019-07-05T20:45:46, 4729038, 0, 104740, 0, 63966, 4552552, 416030, bps
2019-07-05T20:46:18, 5653972, 0, 89023, 0, 71974, 5440456, 414072, bps
2019-07-05T20:46:23, 4567805, 0, 27341, 0, 546, 4404445, 414791, bps
2019-07-05T20:46:53, 4289225, 0, 21839, 0, 3991, 4138047, 415225, bps
2019-07-05T20:47:23, 5352420, 0, 68375, 0, 50511, 5155701, 415160, bps
2019-07-05T20:48:14, 5204951, 0, 14181, 0, 558, 5012571, 415206, bps
2019-07-05T20:48:51, 5833876, 0, 93613, 0, 79570, 5646127, 414204, bps
2019-07-05T20:49:21, 5924278, 0, 15281, 0, 728, 5730765, 414270, bps
2019-07-05T20:49:38, 3733170, 0, 41606, 0, 330, 3590732, 414072, bps
2019-07-05T20:50:08, 9663509, 0, 88522, 0, 70281, 9284805, 414609, bps
2019-07-05T20:50:38, 4216436, 0, 26236, 0, 330, 4057792, 414402, bps
2019-07-05T20:51:11, 7572987, 0, 62087, 0, 49914, 7288571, 415309, bps
2019-07-05T20:51:41, 6010065, 0, 46153, 0, 4118, 5792441, 295713, bps
2019-07-05T20:52:34, 5528378, 0, 18321, 0, 5633, 5323805, 414204, bps
2019-07-05T20:53:04, 5380197, 0, 2090233, 0, 1952734, 6688921, 414942, bps
2019-07-05T20:53:34, 7399960, 0, 27143, 0, 14164, 7128266, 415111, bps
2019-07-05T20:53:50, 5502529, 0, 22638, 0, 438, 5290992, 414268, bps
2019-07-05T20:54:47, 4053690, 0, 1570620, 0, 1500921, 3902826, 414282, bps
2019-07-05T20:55:17, 4441039, 0, 15012, 0, 735, 4277594, 414468, bps
2019-07-05T20:56:16, 4685417, 0, 64573, 0, 21419, 4503210, 415964, bps
2019-07-05T20:56:46, 4398688, 0, 32637, 0, 18783, 4317413, 415897, bps
2019-07-05T20:57:04, 8976368, 0, 18321, 0, 622, 8687825, 813453, bps
2019-07-05T20:57:27, 4924861, 0, 84820, 0, 70404, 4745803, 414270, bps
2019-07-05T20:57:57, 5082923, 0, 130891, 0, 116384, 4894550, 414981, bps
2019-07-05T20:58:27, 7025842, 0, 24608, 0, 392, 6754498, 414138, bps
2019-07-05T20:59:17, 3603481, 0, 61403, 0, 47208, 3473589, 414138, bps
2019-07-05T20:59:47, 4122678, 0, 44891, 0, 27771, 3975988, 415028, bps
2019-07-05T21:00:03, 21375542, 0, 88072, 0, 73140, 20535176, 414732, bps
2019-07-05T21:00:33, 8041381, 0, 14404, 0, 372, 7604045, 414468, bps
2019-07-05T21:01:09, 6081674, 0, 17661, 0, 956, 5847185, 415420, bps
2019-07-05T21:01:39, 4132473, 0, 2076156, 0, 1974018, 3980719, 414666, bps
2019-07-05T21:02:05, 6472722, 0, 1194189, 0, 1124415, 6228082, 416037, bps
2019-07-05T21:02:35, 5633074, 0, 128561, 0, 111156, 5424103, 414991, bps
2019-07-05T21:02:50, 5948292, 0, 13501, 0, 420, 5716925, 414072, bps
2019-07-05T21:03:20, 4087776, 0, 46809, 0, 6628, 3939793, 414270, bps
2019-07-05T21:03:42, 4748371, 0, 295184, 0, 272950, 4582032, 414978, bps
2019-07-05T21:04:12, 6493580, 0, 16029, 0, 330, 6247765, 414960, bps
2019-07-05T21:04:42, 6214301, 0, 52732, 0, 37300, 6011872, 414649, bps
2019-07-05T21:04:50, 4190913, 0, 13448, 0, 1186, 4032997, 415492, bps
2019-07-05T21:05:20, 5096969, 0, 90558, 0, 75313, 4910586, 414781, bps
2019-07-05T21:05:50, 4586908, 0, 68806, 0, 49741, 4412465, 414894, bps
2019-07-05T21:06:13, 5712471, 0, 15708, 0, 1186, 5499358, 415256, bps
2019-07-05T21:06:43, 5835394, 0, 21004, 0, 5766, 5617301, 414157, bps
2019-07-05T21:06:54, 3621940, 0, 77959, 0, 10497, 3502310, 416331, bps
2019-07-05T21:07:24, 4476100, 0, 96710, 0, 72702, 4314213, 415947, bps
2019-07-05T21:07:54, 4102671, 0, 94510, 0, 74451, 3952065, 414583, bps
2019-07-05T21:08:03, 7425251, 0, 19494, 0, 330, 7145168, 296437, bps
2019-07-05T21:08:24, 4207641, 0, 41025, 0, 330, 4052856, 414204, bps
2019-07-05T21:08:54, 5775544, 0, 18113, 0, 2347, 5571224, 414649, bps
2019-07-05T21:09:24, 4306920, 0, 47094, 0, 3494, 4157806, 414402, bps
2019-07-05T21:09:50, 5662641, 0, 142449, 0, 96964, 5454964, 416194, bps
2019-07-05T21:10:20, 5861519, 0, 21458, 0, 9994, 5639248, 415782, bps
2019-07-05T21:10:53, 5041930, 0, 91153, 0, 72738, 4858276, 415653, bps
2019-07-05T21:11:23, 5091351, 0, 42476, 0, 330, 4905282, 414468, bps
2019-07-05T21:11:54, 4954590, 0, 143817, 0, 74403, 4826701, 414666, bps
2019-07-05T21:12:24, 5295991, 0, 27667, 0, 330, 5102182, 414979, bps
2019-07-05T21:12:54, 13537191, 0, 84361, 0, 330, 13006744, 415502, bps
2019-07-05T21:13:15, 5238220, 0, 14330, 0, 396, 5046743, 415137, bps
2019-07-05T21:13:46, 4334183, 0, 90410, 0, 79138, 4164620, 414649, bps
2019-07-05T21:14:16, 5444333, 0, 123788, 0, 81899, 5235733, 414336, bps
2019-07-05T21:14:46, 7176308, 0, 85418, 0, 72156, 6900088, 414534, bps
2019-07-05T21:15:14, 5038975, 0, 13999, 0, 414, 4856136, 416075, bps
2019-07-05T21:15:44, 6513078, 0, 15644, 0, 330, 6267712, 414402, bps
2019-07-05T21:16:15, 6797341, 0, 14810, 0, 330, 6545644, 415910, bps
2019-07-05T21:16:47, 6260608, 0, 73357, 0, 29426, 6013544, 414979, bps
2019-07-05T21:17:17, 5517808, 0, 90407, 0, 76422, 5302637, 414270, bps
2019-07-05T21:17:47, 4292167, 0, 96496, 0, 73669, 4128779, 414270, bps
2019-07-05T21:18:17, 4745657, 0, 77488, 0, 64434, 4561879, 414732, bps
2019-07-05T21:18:29, 7675669, 0, 34337, 0, 6732, 7372923, 414864, bps
2019-07-05T21:18:59, 5091486, 0, 1970459, 0, 1877442, 4900355, 414468, bps
2019-07-05T21:19:29, 5515619, 0, 29106, 0, 16778, 5305544, 414138, bps
2019-07-05T21:20:06, 6639085, 0, 11158, 0, 330, 6389094, 414649, bps
2019-07-05T21:20:36, 4938210, 0, 1940016, 0, 1853943, 4743901, 415539, bps
2019-07-05T21:21:06, 6841635, 0, 31485, 0, 18315, 6606274, 414927, bps
2019-07-05T21:21:33, 5093423, 0, 16336, 0, 4302, 4938273, 414798, bps
2019-07-05T21:22:03, 6826105, 0, 12073, 0, 892, 6568411, 414287, bps
2019-07-05T21:22:33, 4606621, 0, 15228, 0, 558, 4471600, 296595, bps
2019-07-05T21:23:04, 6068009, 0, 24499, 0, 872, 5926763, 533378, bps
2019-07-05T21:23:34, 7365521, 0, 91847, 0, 28080, 7142642, 415030, bps
2019-07-05T21:24:04, 6932558, 0, 20570, 0, 2730, 6677065, 415821, bps
2019-07-05T21:24:34, 5587248, 0, 33261, 0, 20573, 5381996, 414336, bps
2019-07-05T21:25:04, 22420002, 0, 698486, 0, 636434, 21489805, 414348, bps
2019-07-05T21:25:40, 3882201, 0, 1213102, 0, 1146026, 3741047, 415609, bps
2019-07-05T21:26:10, 4886589, 0, 47900, 0, 9123, 4705352, 414138, bps
2019-07-05T21:26:40, 3745950, 0, 1549720, 0, 1455756, 3607617, 414336, bps
2019-07-05T21:27:07, 5190890, 0, 105091, 0, 87179, 5020360, 414072, bps
2019-07-05T21:27:37, 6415818, 0, 95426, 0, 55219, 6191329, 414270, bps
2019-07-05T21:28:04, 5180580, 0, 17560, 0, 330, 4990808, 414402, bps
2019-07-05T21:28:34, 5509081, 0, 141852, 0, 122024, 5302412, 414468, bps
2019-07-05T21:29:04, 4581812, 0, 17575, 0, 648, 4414959, 415370, bps
2019-07-05T21:29:32, 4776795, 0, 50817, 0, 8431, 4604042, 414402, bps
2019-07-05T21:30:02, 8035381, 0, 121207, 0, 74955, 7746886, 414715, bps
2019-07-05T21:30:38, 4738547, 0, 43288, 0, 664, 4553224, 414847, bps
2019-07-05T21:31:12, 6307720, 0, 876564, 0, 826480, 6081285, 415111, bps
2019-07-05T21:31:42, 18024773, 0, 48978, 0, 6619, 17324397, 415967, bps
2019-07-05T21:32:12, 13251225, 0, 87802, 0, 42407, 12738677, 415136, bps
2019-07-05T21:32:42, 5820902, 0, 53194, 0, 456, 5603270, 414270, bps
2019-07-05T21:32:56, 5884759, 0, 108649, 0, 90073, 5661071, 414204, bps
2019-07-05T21:33:26, 5449557, 0, 32415, 0, 17319, 5243367, 414204, bps
2019-07-05T21:33:56, 5725299, 0, 33940, 0, 15893, 5510099, 414402, bps
2019-07-05T21:34:21, 4646181, 0, 84375, 0, 13943, 4476977, 414270, bps
2019-07-05T21:34:51, 5599654, 0, 13906, 0, 434, 5385899, 414138, bps
2019-07-05T21:35:07, 5633746, 0, 42755, 0, 330, 5423641, 414072, bps
2019-07-05T21:35:37, 5926387, 0, 74045, 0, 30333, 5701984, 414402, bps
2019-07-05T21:36:19, 5062945, 0, 20717, 0, 6522, 4928224, 415384, bps
2019-07-05T21:36:49, 4833578, 0, 40841, 0, 624, 4703458, 415358, bps
2019-07-05T21:37:54, 10216261, 0, 51928, 0, 850, 9818549, 414402, bps
2019-07-05T21:38:24, 4258648, 0, 50475, 0, 4409, 4130664, 415424, bps
2019-07-05T21:38:54, 6096006, 0, 64349, 0, 1038, 5882605, 414558, bps
2019-07-05T21:39:20, 5167341, 0, 38560, 0, 25650, 4966687, 415582, bps
2019-07-05T21:39:50, 6164678, 0, 15158, 0, 3782, 5987753, 414270, bps
2019-07-05T21:40:22, 7392992, 0, 14390, 0, 4054, 7132248, 414715, bps
2019-07-05T21:40:52, 5303122, 0, 1215753, 0, 1157956, 5117344, 295588, bps
2019-07-05T21:41:20, 8129213, 0, 170032, 0, 148545, 7819019, 414871, bps
2019-07-05T21:41:50, 4221293, 0, 18307, 0, 4701, 4066647, 414762, bps
2019-07-05T21:41:59, 4754898, 0, 53953, 0, 330, 4574059, 414270, bps
2019-07-05T21:42:29, 4479003, 0, 30276, 0, 12793, 4312349, 414927, bps
2019-07-05T21:42:59, 6067990, 0, 18415, 0, 768, 5833235, 414138, bps
2019-07-05T21:43:28, 4992702, 0, 85514, 0, 61568, 4802190, 414749, bps
2019-07-05T21:43:58, 8387306, 0, 51896, 0, 37374, 8045266, 416653, bps
2019-07-05T21:44:34, 6312919, 0, 72521, 0, 6694, 6076984, 414864, bps
2019-07-05T21:44:52, 9876464, 0, 11801, 0, 644, 9500113, 414270, bps
2019-07-05T21:45:22, 5834344, 0, 24310, 0, 602, 5616416, 413874, bps
2019-07-05T21:45:52, 6137569, 0, 24400, 0, 10876, 5910363, 414864, bps
2019-07-05T21:46:22, 6159576, 0, 13775, 0, 998, 5967423, 414216, bps
2019-07-05T21:46:28, 4688083, 0, 22449, 0, 6360, 4516993, 414402, bps
2019-07-05T21:47:02, 7308757, 0, 15255, 0, 660, 7006284, 417348, bps
2019-07-05T21:47:32, 10486490, 0, 17101, 0, 1494, 10085785, 414336, bps
2019-07-05T21:48:04, 5753028, 0, 18084, 0, 3988, 5515074, 418260, bps
2019-07-05T21:48:34, 5302551, 0, 28615, 0, 1840, 5106356, 414270, bps
2019-07-05T21:49:04, 5665698, 0, 24880, 0, 6643, 5461028, 416360, bps
2019-07-05T21:50:04, 12112567, 0, 17015, 0, 330, 11636555, 414204, bps
2019-07-05T21:50:34, 5650824, 0, 146189, 0, 120199, 5442322, 415236, bps
2019-07-05T21:51:04, 8073972, 0, 31637, 0, 1205, 7824735, 829332, bps
2019-07-05T21:52:10, 4063182, 0, 12700, 0, 372, 3912698, 415393, bps
2019-07-05T21:52:40, 6311281, 0, 17021, 0, 4427, 6077403, 415998, bps
2019-07-05T21:53:10, 4139051, 0, 47083, 0, 330, 3982648, 414894, bps
2019-07-05T21:53:24, 5858063, 0, 629885, 0, 593475, 5639056, 415275, bps
